Requirement,Context (Keywords),Name of Doc,Sec/NotSec,Labeled by,Comments,Label,Labeled by,Comments,,,,,,
Manitoba�s health information legislation requires a trustee who uses electronic means to request disclosure and to respond to requests for disclosure to implement procedures to prevent the interception of information by unauthorized persons.,CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
"All organisations hosting components of the EHRi must  � and organisations connecting to the EHRi should � ensure that PHI and other security critical data stored on removable media are: a) encrypted while the media are in transit to protect the data's confidentiality and integrity; and  Admin Requirement  Tech  Requirement b) protected from theft, where appropriate, while the media are in transit to  protect the data's availability.","AVAILABILITY,OPERATIONAL",ehr_priv_sec,1,Riaz,,Confidentiality?,Vasily,"A bloody mess, probably shoud delete it",,,,,,
"All organisations connecting to the EHRi or hosting components of the EHRi should destroy, permanently erase or make anonymous PHI contained on media that are no longer required.",OPERATIONAL,ehr_priv_sec,1,Riaz,,Confidentiality?,Vasily,Might be operational,,,,,,
"All organisations hosting components of the EHRi must protect electronic media containing PHI or security critical system data, including user registration data, by one or more of the following means:",OPERATIONAL,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
a) physically protecting the media in accordance with Security Requirement 18;,OPERATIONAL,ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
b) securely de-identifying the PHI it contains; or,"OPERATIONAL,PRIVACY",ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
c) encrypting the data it contains.,CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
Protection of user registration data is essential to maintaining its integrity (and hence the integrity of the user authentication process).,INTEGRITY,ehr_priv_sec,1,Riaz,,Integrity,Vasily,,,,,,,
"While physical protection of data storage will always be essential (to protect system availability), de-identification and encryption should be seriously considered in the design of any new system.","OPERATIONAL,CONFIDENTIALITY,PRIVACY",ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
"All organisations hosting components of the EHRi must monitor the status and location of media containing unencrypted EHRi data or security critical data, including user registration data, and ensure this data remains physically protected.",OPERATIONAL,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
Information exchange agreements should be executed between (among) jurisdictions operating EHRi components prior to PHI flowing across provincial or territorial borders.,MANAGEMENT,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
Such agreements would clarify the mutual custodial responsibilities of jurisdictions with relation to PHI.,MANAGEMENT,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
"Of all security requirements protecting PHI, one of the most important is audit and logging.",ACCOUNTABILITY,ehr_priv_sec,1,Riaz,,Accountability,Vasily,,,,,,,
These ensure accountability for patients or persons entrusting their information to electronic health record systems and also ensure that users will conform to policies on acceptable use of the EHRi.,ACCOUNTABILITY,ehr_priv_sec,1,Riaz,,Accountability,Vasily,,,,,,,
"Audit records should contain the necessary information to answer the following questions: 1)For a given user, what PHI did they access, create or update and when? 2)or a given element of PHI, what users have accessed, created or updated it and when?",ACCOUNTABILITY,ehr_priv_sec,1,Riaz,,Accountability,Vasily,,,,,,,
"1) A trustee shall ensure every electronic information system that the trustee designs or acquires after December 11, 2000: a) produces an electronic record of every successful or unsuccessful attempt to i) gain access to the personal health information maintained on the system, ii) add to, delete or modify the personal health information maintained on the system; and",ACCOUNTABILITY,ehr_priv_sec,1,Riaz,,Accountability,Vasily,"list, corrupted",,,,,,
"To construct an authoritative transcript of which users have accessed a patient or person�s PHI or what PHI a user has accessed, all audit records will need to be accessible and hence audit requirements meeting the strictest existing jurisdictional legal requirements are essential to support full interoperability across jurisdictions.","AVAILABILITY,ACCOUNTABILITY",ehr_priv_sec,1,Riaz,,Accountability,Vasily,,,,,,,
Rationale:  Such an audit log allows reconstruction of the state of any EHR stored within the POS system at any point in time.,"AVAILABILITY,INTEGRITY",ehr_priv_sec,1,Riaz,,Integrity?,Vasily,Is version control part of accountability or integrity?,,,,,,
The EHRi may be required to keep a record of all cross-jurisdictional transfers of PHI.,ACCOUNTABILITY,ehr_priv_sec,1,Riaz,,Accountability,Vasily,,,,,,,
"For example, Alberta�s health information legislation requires a custodian that discloses PHI to make a note of the name of the person to whom the custodian disclosed the information; the date and purpose of the disclosure; and a description of the information disclosed.","CONFIDENTIALITY,ACCOUNTABILITY",ehr_priv_sec,1,Riaz,,Accountability,Vasily,part of example,,,,,,
"All POS systems connected to the EHRi must record in an audit log every instance of a user accessing, updating, or archiving PHI.",ACCOUNTABILITY,ehr_priv_sec,1,Riaz,,Accountability,Vasily,,,,,,,
"All organisations hosting components of the EHRi or connecting to the EHRi must retain75 the audit log for the entire retention period of the records audited, to enable investigations to be carried out when necessary and to provide evidence where necessary.","AVAILABILITY,OPERATIONAL,ACCOUNTABILITY",ehr_priv_sec,1,Riaz,,Accountability,Vasily,,,,,,,
Rationale:  This requirement mandates that automated tools actively look for anomalous patterns of access.,ACCOUNTABILITY,ehr_priv_sec,1,Riaz,,Accountability,Vasily,,,,,,,
Such active intrusion detection is an essential feature of robust security systems.,ACCOUNTABILITY,ehr_priv_sec,1,Riaz,,Accountability,Vasily,,,,,,,
"Unlike audit logging itself, the analysis tools need not be continuously available.","AVAILABILITY,ACCOUNTABILITY",ehr_priv_sec,1,Riaz,,Availability?,Vasily,Might be accountability,,,,,,
It suffices that such tools be available when needed.,AVAILABILITY,ehr_priv_sec,1,Riaz,,Availability,Vasily,,,,,,,
Need will be determined by system design and by appropriate Threat and Risk Analysis.,MANAGEMENT,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
The EHRi must be capable of identifying of all users who have accessed or modified a given patient�s or person's record(s) over a given period of time. Rationale:  This requirement is intended to facilitate the discovery of inappropriate  access and assist in subsequent disciplinary or legal action.,ACCOUNTABILITY,ehr_priv_sec,1,Riaz,,Accountability,Vasily,,,,,,,
The EHRi must be capable of identifying all patients or persons whose records have been accessed or modified by a given user over a given period of time.,"ACCESS_CONTROL_IDENTITY,CONFIDENTIALITY",ehr_priv_sec,1,Riaz,,Accountability,Vasily,,,,,,,
The EHRi must provide functions for analyzing logs and audit trails to allow the identification of all users who have accessed or modified such record(s) over a given period of time.,ACCOUNTABILITY,ehr_priv_sec,1,Riaz,,Accountability,Vasily,,,,,,,
Rationale:  This requirement greatly facilitates the determination of suspicious or wrongful use of access privileges with regard to patients who are high profile or whose confidentiality is otherwise especially at risk.,"CONFIDENTIALITY,ACCOUNTABILITY",ehr_priv_sec,1,Riaz,,Accountability,Vasily,,,,,,,
"As noted in the discussion of Privacy Requirement 22a, the records of certain patients or persons (e.g. celebrities, politicians, and newsmakers) may be at elevated risk of access by those who do not have a need-to-know.",CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
"This requirement should not be construed as meaning that the information in the records of such patient or persons are somehow more confidential than those of ordinary citizens or that these records, as information assets, are more valuable than those that are not at elevated risk of inappropriate access.",CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
The EHRi must secure access to audit records and must safeguard access to system audit tools and audit trails to prevent misuse or compromise.,"INTEGRITY,CONFIDENTIALITY",ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
"Confidentiality is critical since a third party obtaining access to such a log might infer PHI from audit log entries (e.g., from a log entry indicating update of a patient record by a user at a cancer care centre, it could be inferred that the patient has cancer).",CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
The EHRi must provide appropriate security measures to protect audit logs from tampering.,CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
All organisations hosting components of the EHRi must subject system logs and audit logs to detailed review; on a regular and ongoing basis.,ACCOUNTABILITY,ehr_priv_sec,1,Riaz,,Accountability,Vasily,,,,,,,
"Note that analysis tools that facilitate audit trail review are mandated in Security Requirement 46, Security Requirement 47, Security Requirement 48 and Security Requirement 49.",ACCOUNTABILITY,ehr_priv_sec,1,Riaz,,Accountability,Vasily,,,,,,,
Audit log review can be greatly aided by software such as intrusion detection systems that look for unusual patterns of use and facilitate exception reporting.,ACCOUNTABILITY,ehr_priv_sec,1,Riaz,,Accountability,Vasily,,,,,,,
Note that Manitoba�s health information legislation requires a trustee to regularly review audit trails �to detect any security breaches.,ACCOUNTABILITY,ehr_priv_sec,1,Riaz,,Accountability,Vasily,,,,,,,
5)detect unauthorized activities; and,ACCOUNTABILITY,ehr_priv_sec,1,Riaz,,Accountability,Vasily,,,,,,,
6)ensure information security when using mobile computing and tele-networking facilities.,CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
All organisations hosting components of the EHRi must develop an Access Control Policy for the EHRi.,MANAGEMENT,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
"a) the accurate capture of a user�s identity (e.g.: Joan Smith, born March 26 1982, currently resident on Bloor Street, Toronto);",ACCESS_CONTROL_IDENTITY,ehr_priv_sec,1,Riaz,,Access control,Vasily,,,,,,,
"the accurate capture of a user’s enduring professional credentials (e.g.: Dr. Joan Smith, Cardiologist) possibly and possibly job title (e.g.: Susan Jones, Medical Receptionist); and",INTEGRITY,ehr_priv_sec,1,Riaz,,Integrity,Vasily,,,,,,,
c) the proper assignment of a user id.,ACCESS_CONTROL_IDENTITY,ehr_priv_sec,1,Riaz,,Access control,Vasily,,,,,,,
All organisations connecting to the EHRi must subject potential users of POS systems that connect to the EHRi to a formal user registration process.,ACCESS_CONTROL_IDENTITY,ehr_priv_sec,1,Riaz,,Access control,Vasily,,,,,,,
"These user registration procedures must ensure: a) that the level of user identification that is provided is consistent with the assurance required, given the value of the information assets and the functions that will become available to the user; b) that each potential user has a legitimate relationship with the organisation; c) that each potential user has a legitimate need to access PHI via the EHRi.",ACCESS_CONTROL_IDENTITY,ehr_priv_sec,1,Riaz,,Access control,Vasily,,,,,,,
"All organisations connecting to the EHRi must ensure that users of POS systems that connect to the EHRi are assigned an identifier (user ID) that, in combination with other identifiers (e.g., facility identifiers, jurisdictional identifiers, etc.) can uniquely identify the user within the EHRi.",ACCESS_CONTROL_IDENTITY,ehr_priv_sec,1,Riaz,,Access control,Vasily,,,,,,,
POS systems must support the unique identification of users.,ACCESS_CONTROL_IDENTITY,ehr_priv_sec,1,Riaz,,Access control,Vasily,,,,,,,
Rationale: This requirement facilitates system-wide audit and trusted end-to-end security.,"INTEGRITY,CONFIDENTIALITY,ACCOUNTABILITY",ehr_priv_sec,1,Riaz,,Accountability,Vasily,,,,,,,
"For the EHRi, the overarching objective is to provide security controls to ensure that access to specific records, and, where appropriate, to specific elements of PHI within those records, is granted only to those EHRi users with a legitimate need-to-know.",CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
"In the subsections that follow, several access control methodologies are discussed that, when taken together, ensure the confidentiality and integrity of PHI by restricting user access to those with a legitimate need-to-know.","CONFIDENTIALITY,INTEGRITY",ehr_priv_sec,1,Riaz,,Access control,Vasily,,,,,,,
There are significant issues related to using RBAC to support an interoperable EHR that must be resolved before the EHRi can make full and effective use of RBAC.,CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Access control?,Vasily,"role-based access control (RBAC). Might be better to set ""Other"".",,,,,,
"All POS systems connected to the EHRi must ensure that each user will access applications and services of the EHRi in a single role (i.e., users who have been registered with more than one non-overlapping role must designate a single role during each EHRi session).",CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Access control,Vasily,,,,,,,
"For example, a general practitioner who works in the Emergency Department of a rural hospital one day a week (and who has emergency override privileges while on duty) must clearly indicate to the POS system when she is acting in this capacity and must do so prior to accessing a patient or person's EHR via the EHRi.",CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Access control,Vasily,,,,,,,
Another example would be an EHRi user accessing EHRi records as a clinician and also sometimes as a researcher.,CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Access control,Vasily,,,,,,,
"A hierarchical organisation of roles, accommodating users who frequently switch between dual roles that are both related to clinical care, would greatly reduce user frustration from needlessly having to switch between one role and the other.",CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Access control,Vasily,,,,,,,
"Properly designed roles will ensure that users rarely, if ever, have switch roles by initiating a new session.",CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Access control,Vasily,,,,,,,
The EHRi and all POS systems connected to the EHRi must be capable of assigning users to working groups and of granting access to records based on working groups.,CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Access control,Vasily,,,,,,,
"At a minimum, VIPs and other selected patients will require restriction of their EHRs to just those individuals who are known members of their healthcare team.",INTEGRITY,ehr_priv_sec,1,Riaz,,Access control,Vasily,,,,,,,
This is a privacy protective feature that all Canadians might reasonably expect to protect their PHI from potential access by any arbitrary healthcare provider registered to use the EHRi.,PRIVACY,ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
"The EHRi and all POS systems connected to the EHRi must support the revocation of user access privileges in a timely manner; i.e. to immediately prevent the user from logging on, after access privileges have been revoked.",CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Access control,Vasily,,,,,,,
Revocation of user access privileges does not in itself alter the status of data that the user has  already entered.,"INTEGRITY,CONFIDENTIALITY",ehr_priv_sec,1,Riaz,,Integrity,Vasily,,,,,,,
Punitive revocation of a user�s access privileges may need to be accompanied by a review of data entered by the user; such determination must be made on a case-by-case basis.,CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Accountability,Vasily,,,,,,,
Rationale:  This requirement ensures that user access privileges to the EHRi can be immediately and systematically suspended if there are grounds to do so.,CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Access control,Vasily,,,,,,,
"Discretionary access control occupies a middle ground between the two extremes of, on the one hand, allowing all users in a given role access to a huge pool of electronic health records; and on the other hand, requiring explicit consent for each user to access each record.",PRIVACY,ehr_priv_sec,1,Riaz,,Access control,Vasily,,,,,,,
"As noted above, discretionary access control does not �trump� role based access control.",CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Access control,Vasily,,,,,,,
"Organisations connecting to the EHRi must define user responsibilities, make users aware of them and have users agree to them as part of an acceptable use agreement.",OPERATIONAL,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
Rationale:  Acceptable use agreements are an important part of ensuring that users  are aware of their responsibilities (and hence help to support Security Requirement 16) as well as provide the basis for legal redress if users abuse their access rights.,OPERATIONAL,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
Organisations hosting components of the EHRi must ensure that all EHRi connections to remote servers and applications are authenticated.,ACCESS_CONTROL_IDENTITY,ehr_priv_sec,1,Riaz,,Access control,Vasily,,,,,,,
Rationale:  This helps to ensure that applications containing PHI are not  compromised by masquerading remote servers possibly and possibly applications.,"CONFIDENTIALITY,ACCESS_CONTROL_IDENTITY",ehr_priv_sec,1,Riaz,,Access control,Vasily,,,,,,,
Organisations hosting components of the EHRi must securely control access to diagnostic ports and services on networks hosting those components.,CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
"Organisations hosting components of the EHRi must introduce network controls to segregate information services, users and information systems that are not involved in access to or hosting of the EHRi.",OPERATIONAL,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
Rationale:  This requirement is intended to protect against a variety of denial of service attacks.,AVAILABILITY_SURVIVABILITY,ehr_priv_sec,1,Riaz,,Availability,Vasily,,,,,,,
"Organisations hosting components of the EHRi, must restrict and control the use of system utility programs.",CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Operational?,Vasily,Protection from facilitated hacking. Might be operational??,,,,,,
"Where appropriate, the EHRi should restrict connection duration to EHRi application services to provide additional security for access to those applications.",ACCESS_CONTROL_IDENTITY,ehr_priv_sec,1,Riaz,,Access control,Vasily,,,,,,,
Rationale:  This requirement is sometimes used in high security applications to force a reconnect (and hence re-authentication) when a connection has been held open for an excessively long time.,ACCESS_CONTROL_IDENTITY,ehr_priv_sec,1,Riaz,,Access control,Vasily,,,,,,,
The EHRi and all POS systems connected to the EHRi must robustly authenticate users.,ACCESS_CONTROL_IDENTITY,ehr_priv_sec,1,Riaz,,Access control,Vasily,,,,,,,
"Moreover, some level of uniformity in the strength of authentication will likely be needed to support cross-jurisdictional interoperability.",ACCESS_CONTROL_IDENTITY,ehr_priv_sec,1,Riaz,,Access control,Vasily,,,,,,,
It is important to note that this requirement would likely necessitate the implementation of robust authentication technologies:,ACCESS_CONTROL_IDENTITY,ehr_priv_sec,1,Riaz,,Access control,Vasily,,,,,,,
"It is expected that the EHRi and POS systems connected to the EHRi will work together to accomplish the task of authenticating users who access the EHRi; i.e., users do not need to be authenticated twice.",ACCESS_CONTROL_IDENTITY,ehr_priv_sec,1,Riaz,,Access control,Vasily,,,,,,,
"All POS systems connected to the EHRi must protect unattended workstations against an unauthorized person taking the opportunity to use the workstation while the POS is active, either with automatic timeout after a period of inactivity or by placing the workstations in a physically secure area.",OPERATIONAL,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
Proper positioning of workstations also plays a role in ensuring that the patients or persons cannot see the details of other people's records.,OPERATIONAL,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
"Rationale:  Application of wireless networking to healthcare needs to be done  securely to prevent interception and decryption of wireless network traffic and to protect against end-user masquerade, man-in-the-middle attacks, access point spoofing, session hijacking, and potentially denial of service.","AVAILABILITY_SURVIVABILITY,CONFIDENTIALITY,INTEGRITY",ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
All of these can be addressed through the use of encryption.,CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
"This, combined with Security Requirement 31 (Encrypting PHI During Transmission) implies that all wireless communication of PHI be encrypted.",CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
1)ensure security is built into operational systems;,MANAGEMENT,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
"2)prevent loss, modification or misuse of user data in application systems;",INTEGRITY,ehr_priv_sec,1,Riaz,,Integrity,Vasily,,,,,,,
"3)protect the confidentiality, authenticity, availability and integrity of information;","CONFIDENTIALITY,INTEGRITY,AVAILABILITY",ehr_priv_sec,1,Riaz,,Other,Vasily,,,,,,,
4)ensure IT projects and support activities are conducted in a secure manner; and,MANAGEMENT,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
5)maintain the security of application system software and data.,MANAGEMENT,ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
b) must be capable of merging two or more EHR records if it is determined that multiple records for the same patient or person have been unintentionally created.,INTEGRITY,ehr_priv_sec,1,Riaz,,Integrity,Vasily,,,,,,,
"The EHRi and all POS systems connected to the EHRi must include, wherever feasible, measures to safeguard against user error by validating data input to ensure that it is correct and appropriate.",INTEGRITY,ehr_priv_sec,1,Riaz,,Integrity,Vasily,,,,,,,
All POS systems connected to the EHRi should ensure it is possible to check that hardcopy print-outs are complete (e.g.: �page 3 of 5�).,INTEGRITY,ehr_priv_sec,1,Riaz,,Integrity,Vasily,,,,,,,
"To the extent that the EHRi supports the replacement of paper-based prescriptions, a facility for the application, recognition and verification of digital signatures will be among the services provided by the EHRi, as Canadian law requires that prescriptions be signed.77  Although the principle use of digital signatures would probably be for e-prescribing, there are many other less common situations where the signature of a physician might be required upon a form (for example, death certificates).",CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,I don't know,Vasily,not sure,,,,,,
Processing of these other paper based forms would also benefit from augmentation with e-forms and the concomitant use of digital signatures by physicians.,CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,I don't know,Vasily,not sure,,,,,,
"Finally, digital signatures play an important role in providing so-called ""security assertions"" �reliable attestations that a given user or system has a given attribute.",CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,I don't know,Vasily,not sure,,,,,,
"As well, digital signatures can themselves form the basis of an effective two-factor authentication methodology as per Security Requirement 71 (Robustly Authenticating Users), and so can fulfil this function as well as provide for signature capability.",ACCESS_CONTROL_IDENTITY,ehr_priv_sec,1,Riaz,,I don't know,Vasily,not sure,,,,,,
"Regulations under the Food and Drug Act require that prescriptions be either in writing or verbal: (a) if the prescription is in writing, it has been signed and dated by the practitioner issuing the same and the signature of the practitioner where not known to the pharmacist, has been verified by him; or (b)if the prescription is given verbally, the pharmacist has taken reasonable precaution to satisfy himself that the person giving the prescription is a practitioner.",INTEGRITY,ehr_priv_sec,1,Riaz,,I don't know,Vasily,not sure,,,,,,
Organisations hosting components of the EHRi must take steps to test for and prevent the exploitation of published vulnerabilities in systems and software that host those component. Rationale:  This requirement prevents the exploitation of known vulnerabilities in  systems that have not been updated with currently available security patches.,OPERATIONAL,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
It also mandates that security patches which fix known security problems either be applied when available or else effective alternative steps be taken to address the security problem.,OPERATIONAL,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
Effective security vulnerability management of new or significantly upgraded systems and software should also include penetration testing.,OPERATIONAL,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
The objectives of security incident management are to: 1)build a reporting infrastructure for reporting incidents and weakness; and 2)manage incidents and institute improvements to prevent their future occurrence.,OPERATIONAL,ehr_priv_sec,1,Riaz,,Operational/Accountability,Vasily,,,,,,,
The EHRi must � and all POS systems connected to the EHRi should �trigger a notification to the accountable person specified in Security Requirement 3 of every detected pattern of system misuse (see Security Requirement 46),ACCOUNTABILITY,ehr_priv_sec,1,Riaz,,Operational/Accountability,Vasily,,,,,,,
"Organisations hosting components of the EHRi must establish incident management responsibilities and procedures to ensure a quick, effective and orderly response to security incidents and to collect and preserve incident-related data such as audit trails, logs and other evidence.",INTEGRITY,ehr_priv_sec,1,Riaz,,Operational/Accountability,Vasily,,,,,,,
"Security incident management procedures are intended to restore normal EHRi operations in a timely manner, and to minimise any loss of confidentiality or data and system integrity.","AVAILABILITY_SURVIVABILITY,CONFIDENTIALITY,INTEGRITY",ehr_priv_sec,1,Riaz,,Other,Vasily,,,,,,,
"Organisations hosting components of the EHRi must put in place a managed process for developing and maintaining business continuity throughout the organisation, including: a) developing a strategic plan, based on appropriate risk assessment, for the overall approach to business continuity; b) developing written plans to maintain or restore business operations in a timely manner following interruption to, or failure of, critical business processes relating to the EHRi; and c) maintaining a unified framework of business continuity plans to ensure that all plans are consistent, and to identify priorities for testing and maintenance.",OPERATIONAL,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
Item c is intended to integrate business continuity planning in IT systems with broader plans to maintain services to patients.,"OPERATIONAL,AVAILABILITY",ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
"The objectives of compliance in information security management are to: 1)avoid breaches of any criminal or civil law, statutory, regulatory or contractual obligations and of any security requirements; 2)ensure compliance of systems with organisational security policies and standards; and 3)maximize the effectiveness of and minimize interference with or from the system audit process.",MANAGEMENT,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
Audit standards for the EHRi will be based on jurisdictional requirements and standards.,ACCOUNTABILITY,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
"7)Substitute Decision Makers May Require Identification Substitute decision makers may be required to make decision concerning treatment, as well to make decisions concerning the patient or person�s consent directives.",ACCESS_CONTROL_IDENTITY,ehr_priv_sec,1,Riaz,,I don't know,Vasily,Is this security?,,,,,,
9)Keeping PHI from System and Administrative Personnel EHRi system administrators may have access to PHI that they are not authorized to retrieve; either directly via system tools other than the application level user interface or via integration engines that process and exchange information.,"ACCOUNTABILITY,CONFIDENTIALITY",ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
"An EHRi that effectively encrypts such PHI during storage and when in transit could avoid these unintended disclosures to system personnel and other insiders (albeit with attendant overhead in administration and processing) but there are many other options as well, including decoupling of personal identifiers from healthcare information.80",CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
"10)Keeping PHI from Unauthorized Third Parties Unauthorized third parties may retrieve or even alter PHI in transit (e.g., by intercepting unencrypted transmission of data), in repositories (e.g., by ""hacking"" into database repositories), or in storage on secondary media (e.g., by obtaining unencrypted data backups or data archives).",CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
"This ensures that a user who does not work exclusively in an emergency department will not have access to emergency override functions while working in a non-emergency setting (e.g., when providing family medicine in a physician practice).",CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
-Security Requirement 43 specifies that the role exercised by the user while performing an action (e.g.: accessing or updating a record) must be logged in an audit trail.,"ACCOUNTABILITY,CONFIDENTIALITY",ehr_priv_sec,1,Riaz,,Accountability,Vasily,,,,,,,
Users whose roles include a role with access to emergency override functions and who invokes that role in a non-emergency situation in order to exercise those emergency override functions may therefore be subject to disciplinary procedures based upon the evidence provided by the audit log.,CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Accountability,Vasily,,,,,,,
"All users are registered and uniquely identified (c.f. Security Requirement 54 and Security Requirement 55) and all organisations connecting to EHRi are also identified and their access logged as appropriate (Security Requirement 43  Minimum Content of Audit Logs), but there is no essential need � from a privacy or security viewpoint � to identify systems, servers or applications.","ACCESS_CONTROL_IDENTITY,ACCOUNTABILITY",ehr_priv_sec,1,Riaz,,Accountability,Vasily,,,,,,,
The requirements for patient or person identification and the data used to support it may also vary from jurisdiction to jurisdiction.,ACCESS_CONTROL_IDENTITY,ehr_priv_sec,1,Riaz,,Access control,Vasily,,,,,,,
The provision of emergency care and other situations in which adequate patient identification may not have been possible will inevitably create instances of multiple records for the same patient or person.,ACCESS_CONTROL_IDENTITY,ehr_priv_sec,1,Riaz,,Integrity,Vasily,,,,,,,
"Such merging requires the greatest care and will therefore necessitate not only personnel trained in such merging, but may also require technical tools to better facilitate the integration of information from the original records into a unified whole.","OPERATIONAL,INTEGRITY",ehr_priv_sec,1,Riaz,,Integrity,Vasily,,,,,,,
"As EHRs become increasingly interoperable and the number of EHR users grows, so to does the risk of inappropriate access.",CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Access control,Vasily,,,,,,,
"Whenever a request to retrieve a patient or person�s EHR is initiated from a jurisdiction where a patient or person has not received care in the past, some additional authorization mechanisms may need to be invoked.",INTEGRITY,ehr_priv_sec,1,Riaz,,Integrity,Vasily,,,,,,,
"The specifics of this issue is not addressed by any of the requirements, although Privacy Requirement 8, Privacy Requirement 9, Privacy Requirement 10, Privacy Requirement 11, and Privacy Requirement 12 specify that consent data be captured by POS systems and transmitted to the EHRi when transmitting the underlying PHI.",CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,I don't know,Vasily,,,,,,,
"Encryption technology is now routinely applied to network traffic to protect its passage across networks such as the Internet86, The enduring confidentiality of PHI and the low cost of storing huge volumes of intercepted network traffic combine to place stringent demands on the cryptographic protection of PHI during transmission.",CONFIDENTIALITY,ehr_priv_sec,1,Riaz,,Confidentiality,Vasily,,,,,,,
It will also require consistent policies and procedures for issuing digital certificates that meet the high standards of digital certificate issuance demanded of e-prescribing.,INTEGRITY,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
Responsibilities must be carefully delineated so that the entire EHRi remains continuously defended against intrusion.,OPERATIONAL,ehr_priv_sec,1,Riaz,,Operational,Vasily,,,,,,,
User authentication schemes (and other security mechanisms that users are exposed to) must not become a barrier to deployment and use.,ACCESS_CONTROL_IDENTITY,ehr_priv_sec,1,Riaz,,Availability,Vasily,,,,,,,
"2) VLER DAS sends a list of available exam results filtered by Physician Name and Date Range to the consuming application (first pass) for the following allowed configurations: a. Last Name, Date Range; b. Last Name, First Name, Date Range; c. Last Name, First Name, Middle Name, Date Range;",ACCOUNTABILITY,vler,1,Riaz,,Confidentiality,Vasily,,,,,,,
